date,store_id,sku_id,sales,price,promo,on_hand_inventory,lead_time_days,unit_cost
2024-01-01,CA_1,SKU_001,14,10.24,0,68,5,6.37
2024-01-02,CA_1,SKU_001,6,9.95,0,68,5,6.37
2024-01-03,CA_1,SKU_001,6,10.01,0,67,5,6.37
2024-01-04,CA_1,SKU_001,9,10.06,0,62,5,6.37
2024-01-05,CA_1,SKU_001,9,10.23,0,49,5,6.37
2024-01-06,CA_1,SKU_001,15,10.06,0,33,5,6.37
2024-01-07,CA_1,SKU_001,9,10.37,0,22,5,6.37
2024-01-08,CA_1,SKU_001,16,9.56,1,13,5,6.37
2024-01-09,CA_1,SKU_001,2,10.25,0,11,5,6.37
2024-01-10,CA_1,SKU_001,7,10.17,0,10,5,6.37
2024-01-11,CA_1,SKU_001,10,10.28,0,10,5,6.37
2024-01-12,CA_1,SKU_001,20,9.14,1,10,5,6.37
2024-01-13,CA_1,SKU_001,7,10.09,0,10,5,6.37
2024-01-14,CA_1,SKU_001,19,9.1,1,10,5,6.37
2024-01-15,CA_1,SKU_001,13,10.29,0,10,5,6.37
2024-01-16,CA_1,SKU_001,4,10.05,0,13,5,6.37
2024-01-17,CA_1,SKU_001,3,9.92,0,10,5,6.37
2024-01-18,CA_1,SKU_001,16,9.57,1,10,5,6.37
2024-01-19,CA_1,SKU_001,11,10.08,0,10,5,6.37
2024-01-20,CA_1,SKU_001,7,10.07,0,10,5,6.37
2024-01-21,CA_1,SKU_001,9,10.05,0,10,5,6.37
2024-01-22,CA_1,SKU_001,13,10.23,0,10,5,6.37
2024-01-23,CA_1,SKU_001,4,10.13,0,10,5,6.37
2024-01-24,CA_1,SKU_001,3,9.88,0,10,5,6.37
2024-01-25,CA_1,SKU_001,7,10.07,0,10,5,6.37
2024-01-26,CA_1,SKU_001,8,10.29,0,10,5,6.37
2024-01-27,CA_1,SKU_001,7,10.08,0,10,5,6.37
2024-01-28,CA_1,SKU_001,3,10.23,0,12,5,6.37
2024-01-29,CA_1,SKU_001,7,10.16,0,10,5,6.37
2024-01-30,CA_1,SKU_001,6,10.15,0,10,5,6.37
2024-01-31,CA_1,SKU_001,4,10.18,0,10,5,6.37
2024-02-01,CA_1,SKU_001,20,9.51,1,10,5,6.37
2024-02-02,CA_1,SKU_001,7,9.96,0,10,5,6.37
2024-02-03,CA_1,SKU_001,6,10.27,0,10,5,6.37
2024-02-04,CA_1,SKU_001,5,10.21,0,10,5,6.37
2024-02-05,CA_1,SKU_001,28,9.52,1,10,5,6.37
2024-02-06,CA_1,SKU_001,7,9.98,0,10,5,6.37
2024-02-07,CA_1,SKU_001,5,10.12,0,10,5,6.37
2024-02-08,CA_1,SKU_001,10,9.94,0,10,5,6.37
2024-02-09,CA_1,SKU_001,17,9.79,1,10,5,6.37
2024-02-10,CA_1,SKU_001,16,9.24,1,10,5,6.37
2024-02-11,CA_1,SKU_001,15,9.98,0,10,5,6.37
2024-02-12,CA_1,SKU_001,15,10.22,0,10,5,6.37
2024-02-13,CA_1,SKU_001,6,10.01,0,10,5,6.37
2024-02-14,CA_1,SKU_001,11,9.47,1,10,5,6.37
2024-02-15,CA_1,SKU_001,11,10.12,0,10,5,6.37
2024-02-16,CA_1,SKU_001,10,10.06,0,10,5,6.37
2024-02-17,CA_1,SKU_001,11,10.45,0,10,5,6.37
2024-02-18,CA_1,SKU_001,4,10.47,0,10,5,6.37
2024-02-19,CA_1,SKU_001,12,10.07,0,10,5,6.37
2024-02-20,CA_1,SKU_001,11,9.97,0,10,5,6.37
2024-02-21,CA_1,SKU_001,6,10.14,0,10,5,6.37
2024-02-22,CA_1,SKU_001,16,9.56,1,10,5,6.37
2024-02-23,CA_1,SKU_001,15,9.19,1,10,5,6.37
2024-02-24,CA_1,SKU_001,13,9.88,0,10,5,6.37
2024-02-25,CA_1,SKU_001,15,9.34,1,10,5,6.37
2024-02-26,CA_1,SKU_001,14,10.41,0,10,5,6.37
2024-02-27,CA_1,SKU_001,4,10.1,0,10,5,6.37
2024-02-28,CA_1,SKU_001,4,10.16,0,10,5,6.37
2024-02-29,CA_1,SKU_001,18,10.52,0,10,5,6.37
2024-03-01,CA_1,SKU_001,5,10.03,0,12,5,6.37
2024-03-02,CA_1,SKU_001,13,9.3,1,10,5,6.37
2024-03-03,CA_1,SKU_001,6,10.04,0,10,5,6.37
2024-03-04,CA_1,SKU_001,16,10.13,0,10,5,6.37
2024-03-05,CA_1,SKU_001,13,9.89,0,10,5,6.37
2024-03-06,CA_1,SKU_001,13,10.73,0,10,5,6.37
2024-03-07,CA_1,SKU_001,12,10.49,0,10,5,6.37
2024-03-08,CA_1,SKU_001,9,10.3,0,10,5,6.37
2024-03-09,CA_1,SKU_001,10,9.87,0,10,5,6.37
2024-03-10,CA_1,SKU_001,14,9.32,1,10,5,6.37
2024-03-11,CA_1,SKU_001,13,10.21,0,10,5,6.37
2024-03-12,CA_1,SKU_001,7,10.0,0,10,5,6.37
2024-03-13,CA_1,SKU_001,16,10.56,0,10,5,6.37
2024-03-14,CA_1,SKU_001,12,9.99,0,10,5,6.37
2024-03-15,CA_1,SKU_001,7,10.38,0,10,5,6.37
2024-03-16,CA_1,SKU_001,15,9.62,1,10,5,6.37
2024-03-17,CA_1,SKU_001,8,10.2,0,10,5,6.37
2024-03-18,CA_1,SKU_001,12,10.12,0,10,5,6.37
2024-03-19,CA_1,SKU_001,12,9.63,0,10,5,6.37
2024-03-20,CA_1,SKU_001,9,10.2,0,10,5,6.37
2024-03-21,CA_1,SKU_001,12,10.49,0,10,5,6.37
2024-03-22,CA_1,SKU_001,13,10.08,0,10,5,6.37
2024-03-23,CA_1,SKU_001,10,10.4,0,10,5,6.37
2024-03-24,CA_1,SKU_001,14,10.38,0,10,5,6.37
2024-03-25,CA_1,SKU_001,14,10.31,0,10,5,6.37
2024-03-26,CA_1,SKU_001,7,10.0,0,10,5,6.37
2024-03-27,CA_1,SKU_001,11,10.11,0,10,5,6.37
2024-03-28,CA_1,SKU_001,13,10.51,0,10,5,6.37
2024-03-29,CA_1,SKU_001,10,9.91,0,10,5,6.37
2024-03-30,CA_1,SKU_001,16,10.27,0,10,5,6.37
2024-03-31,CA_1,SKU_001,10,9.9,0,10,5,6.37
2024-04-01,CA_1,SKU_001,19,9.67,1,10,5,6.37
2024-04-02,CA_1,SKU_001,8,10.16,0,10,5,6.37
2024-04-03,CA_1,SKU_001,14,9.73,0,10,5,6.37
2024-04-04,CA_1,SKU_001,21,9.51,1,10,5,6.37
